name,category,rating,address,subtypes,type
Sego Godog Pak Pethel,restaurants,4.4,"Ngaglik, Pendowoharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55186",Diner,kuliner
Dawet Mbah Hari Pasar Beringharjo,restaurants,4.7,"6928+J5C, Jl. Malioboro, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Restaurant,kuliner
Rumah Makan Kawanua,restaurants,4.3,"Bumijo, Jalan Tentara Zeni Pelajar Gg Flamboyan JT/I 969, Bumijo, Jetis, Yogyakarta City, Special Region of Yogyakarta 55231",Asian restaurant,kuliner
JNM Bloc,shopping mall,4.8,"Jl. Prof. DR. Ki Amri Yahya No.1, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253","Restaurant, Coffee shop, Event venue, Shopping mall",kuliner
Bakmi Jawa Mbah Mo,restaurants,4.4,"Jl. Parangtritis No.Km, RW.11, Code, Trirenggo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55715","Noodle shop, Diner",kuliner
Lesehan Kangen Roso ( ꧋ꦭꦺꦱꦺꦲꦤ꧀ꦏꦔꦼꦤ꧀ꦫꦺꦴꦱꦺꦴ ),restaurants,4.6,"Jl. Kauman No.51, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132",Diner,kuliner
Gudeg Jogja Malioboro,restoran jawa,4.7,"Jl. Malioboro No.79, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Javanese restaurant,kuliner
Kandang Ingkung Resto & Kopi,restaurants,4.7,"Jitengan, Balecatur, Gamping, Sleman Regency, Special Region of Yogyakarta 55295",Restaurant,kuliner
Bakmi & Bajigur Kadin Mbah Hj. Karto Pak Rochadi (Yang Otentik Papan Nama Besar Logo Hanya 1),restaurants,4.0,"Jl. Bintaran Kulon No.3, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",Noodle shop,kuliner
McDonald's Sudirman Jogja,restaurants,4.5,"Jl. Jend. Sudirman No.38, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Fast food restaurant, Breakfast restaurant",kuliner
Gudeg Pincuk Malioboro Bu Djati ꧋ꦒꦸꦣꦼꦒ꧀ꦥꦶꦚ꧀ꦕꦸꦏ꧀ꦩꦭꦶꦪꦧꦫꦧꦸꦣ꧀ꦗꦠꦶ,javanese restaurant,4.5,"Teras Malioboro, Jl. Margo Mulyo No.28 1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Javanese restaurant, Restaurant",kuliner
Rumah Makan Gabrio,restaurants,4.8,"Jl. Prof. DR. Soepomo Sh No.3, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164","Restaurant, Buffet restaurant, Diner",kuliner
Bakmi Jawa Pak Pele,restaurants,4.2,"Alun-Alun Utara St, Panembahan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55131","Noodle shop, Indonesian restaurant",kuliner
R.M. Kasmaran,restaurants,4.4,"Jl. Malioboro No.35, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Indonesian restaurant,kuliner
Geblek Pari,restaurants,4.4,"Pronosutan, Kembang, Nanggulan, Kulon Progo Regency, Special Region of Yogyakarta 55671","Restaurant, Tourist attraction",kuliner
Soto Pak Sholeh Kridosono Kotabaru Yogyakarta,restoran soto,4.4,"Parkir Stadion kridosono, Jl. Yos Sudarso No.28, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Soto restaurant, Indonesian restaurant",kuliner
Sambel Welut Pak Sabar,restoran jawa,4.5,"49XG+6CM, Unnamed Road, Glagah Kidul, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55191",Javanese restaurant,kuliner
Warung Watoe Gadjah,restaurants,4.3,"79QW+R5F, Plumbon, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Restaurant,kuliner
Warung Burjo Sundawa,restaurants,4.3,"59R9+9H3, Jl. Mantrigawen Lor, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131","Restaurant, Breakfast restaurant",kuliner
Claw & Koyor Gudeg Mrs. Sum Tamansari,restoran jawa,4.4,"59R4+PF6, Notoprajan, Ngampilan, Yogyakarta City, Special Region of Yogyakarta 55142",Javanese restaurant,kuliner
Rumah Makan Candra,restoran jawa,4.7,"694C+MQ2, Jl. Mas Suharto, Tegal Panggung, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55212",Javanese restaurant,kuliner
Sate Klathak Pak Pong,restoran sate,4.3,"Jl. Sultan Agung No.18, Jejeran II, Wonokromo, Kec. Pleret, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55791",Satay restaurant,kuliner
Sate Kambing Asli Tambak Segaran,restaurants,4.3,"Jl. Brigjen Katamso No.192, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131","Diner, Restaurant, Satay restaurant",kuliner
HeHa Sky View,taman hiburan,4.5,"Jl. Dlingo-Patuk No.2, Patuk, Bukit, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862","Restaurant, Amusement park",kuliner
Bakmi Jawa Pak Rebo,restaurants,4.4,"Jl. Brigjen Katamso, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131","Noodle shop, Javanese restaurant",kuliner
Warung Eswe Jogja (Masakan Pedas),restaurants,4.6,"Jl. MT. Haryono No.9, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141",Restaurant,kuliner
Wedang Kopi Prambanan,restaurants,4.5,"Jl. Raya Manisrenggo - Prambanan No.16, Area Sawah, Bugisan, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454","Restaurant, Coffee store",kuliner
Bebek Goreng Mima,restaurants,4.5,"Jl. KH Wahid Hasyim No.29, RW.7, Notoprajan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55262",Indonesian restaurant,kuliner
Bakso dan Es Buah PK Pakuningratan,restoran bakso,4.5,"Jl. Pakuningratan No.76 A, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233","Bakso restaurant, Diner",kuliner
Mangut Lele Dapur Asli Mbok Marto Ijoyo,restoran jawa tengah,4.5,"Jl. Sewon Indah, Ngireng-ireng, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188","Central Javanese restaurant, Restaurant",kuliner
La Barka Resto,restaurants,4.5,"662M+CJG, Wijilan, Wijimulyo, Kec. Nanggulan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55671",Restaurant,kuliner
Kadipiro Plus Soto House,restoran soto,4.4,"Wates St No.48, Sonosewu, Ngestiharjo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184","Soto restaurant, Breakfast restaurant, Diner, Soto ayam restaurant",kuliner
Sejenis Warung Ramen n Katsu,restoran ramen,4.5,"Jalan Ahmad Yani, Ramai Mall, Foodcourt Lantai 4, Ngupasan, Yogyakarta, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55262","Ramen restaurant, Diner",kuliner
Rumah Makan Es Eny,restaurants,3.9,"Jl. A.M. Sangaji No.23, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233","Buffet restaurant, Bakso restaurant, Indonesian restaurant",kuliner
Sate Babi Ketandan,satay restaurant,4.4,"Jl. Ketandan Kulon, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Satay restaurant, Bakso restaurant",kuliner
SATE KLATAK MBAK LALA,restaurants,4.8,"Parkiran Timur, Pasar Kolombo, Depan Makam Kolombo Jl. Kaliurang No.km 7, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",Restaurant,kuliner
Rumah Makan Gebyok Jati,javanese restaurant,4.3,"59R2+R76, Jl. Letjen S.Parman, Patangpuluhan, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55251",Javanese restaurant,kuliner
Ayam Pedas Artomoro,restaurants,4.5,"Jalan Palagan Tentara Pelajar Km.7,8 No.30s, Jl. Palagan Tentara Pelajar, Karang Moko, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Chicken restaurant,kuliner
Rumah Makan Padang Murah Jaya,restoran padang,3.6,"Jl. KH. Ahmad Dahlan No.86, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261",Padang restaurant,kuliner
MayaM Indonesia,restaurants,5.0,"Jl. Ibu Ruswo Jl. Jomegatan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Indonesian restaurant,kuliner
Gudeg Basah Bu Sri Kadipiro,restoran jawa,4.5,"JL. Wates, Km. 2, Kadipiro, Sonosewu, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184","Javanese restaurant, Diner",kuliner
Gudeg Bu Widodo 2,restoran jawa,4.7,"Jl. Wijilan No.14-2, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",Javanese restaurant,kuliner
Rumah Makan Bahagia,restoran padang,5.0,"Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Padang restaurant, Indonesian restaurant",kuliner
GRILL JOGJA_ID - Sewa Alat Grill & BBQ Jogja Kota Home Service,restoran barbeque korea,5.0,"Jl. Jagalan - Beji, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",Korean barbecue restaurant,kuliner
Warung Rifa Prasmanan Makanan Jawa,restoran jawa,4.5,"Jl. Beskalan Nomer No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Javanese restaurant, Buffet restaurant, Diner",kuliner
Kentuku Fried Chicken Nasi Urap Pak Untung,restaurants,4.7,"59W9+H4W, Jl. Ibu Ruswo, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131","Brunch restaurant, Breakfast restaurant, Fried chicken takeaway",kuliner
Angkringan Wisata Sayidan,restaurants,4.7,"2 No.100, Jl. Sayidan GM No.2 no 63, RT.12/RW.04, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121",Diner,kuliner
"Sate Ayam Khas Ambal, Malioboro Jogja",restoran sate,4.2,"Pajeksan GT1/535 Rw32 Rt08, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Satay restaurant,kuliner
"Djoen Bakery, Coffee & Resto Malioboro",coffee shops,4.6,"Jl. Margo Mulyo No.78, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Restaurant, Bakery, Cafe, Coffee shop",kuliner
Sate Kere Beringharjo,satay restaurant,4.8,"6928+93Q, Jl. Margo Mulyo, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Satay restaurant,kuliner
Gudeg Yu Narni Wijilan,restoran jawa,4.5,"Jl. Wijilan No.1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",Javanese restaurant,kuliner
SOTO BATHOK SOR RINGIN,restoran soto,4.5,"59W8+V3P, Prawirodirjan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55121",Soto restaurant,kuliner
Ichiban Sushi - Plaza Malioboro,restaurants,4.5,"Jl. Malioboro No.52 - 58, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271","Japanese restaurant, Restaurant, Sushi restaurant",kuliner
ESCO RESTAURANT & NO.27 COFFEE,cafes,4.6,"Jl. Pringgodani Jl. Demangan Baru No.14, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Cafe, Coffee shop",kuliner
Grand Malioboro Yogyakarta,hotels,4.4,"Jl. Dagen No.85, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Hotel,hotel
Sans Hotel Prime Cailendra Yogyakarta,hotels,4.5,"Jl. Taman Siswa No.91, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111",Hotel,hotel
Sahid Raya Yogyakarta Hotel & Convention Yogyakarta,hotels,4.5,"Jl. Babarsari No.2, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Hotel, Convention center",hotel
Hotel Madina Inn Yogyakarta,hotels,4.7,"Jl. Taman Siswa No.56, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",Hotel,hotel
Cavinton Hotel Malioboro Yogyakarta,hotels,4.5,"Jl. Letjen Suprapto No.1, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261",Hotel,hotel
RedDoorz near Tugu Yogyakarta,hotels,3.5,"Jl. Pakuningratan No.1, Tugu, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Hotel,hotel
Swiss-Belboutique Yogyakarta,hotels,4.8,"Jl. Jend. Sudirman No.69, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Hotel,hotel
The Victoria Hotel Yogyakarta,hotels,4.4,"Jl. Pakel No.5, Tempel, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Hotel,hotel
Royal Ambarrukmo Yogyakarta,hotels,4.8,"Jl. Laksda Adisucipto No.81, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Hotel, Conference center, Heritage building, Live music bar, Restaurant, Spa, Swimming pool, Wedding venue",hotel
"Bobopod Malioboro, Yogyakarta",hotels,4.6,"Jl. Malioboro No.39, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271","Capsule hotel, Hotel",hotel
Paku Mas Hotel,hotels,4.7,"Jl. Nogopuro No.35, Ambarukmo, Caturtunggal, Kec. Depok, Yogyakarta, Daerah Istimewa Yogyakarta 55281","Hotel, Banquet hall, Function room facility, Indonesian restaurant, Meeting planning service, Resort hotel, Swimming pool, Wellness hotel",hotel
Pandanaran Prawirotaman Yogyakarta,hotels,4.3,"Jl. Prawirotaman No.38, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153","Hotel, Convention center, Restaurant, Wedding venue",hotel
Top Malioboro Hotel Jogja,hotels,4.1,"Jl. HOS Cokroaminoto No.145, Tegalrejo, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244",Hotel,hotel
Jambuluwuk Malioboro Hotel,hotels,4.5,"Jl. Gajah Mada No.67, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",Hotel,hotel
Malioboro Inn Hotel,hotels,4.3,"Sosrowijayan St No.23 - 25, Sosromenduran, Gedong Tengen, Yogyakarta City, Special Region of Yogyakarta 55271",Hotel,hotel
The Cube Malioboro Hotel Yogyakarta,hotels,4.2,"Jl. Parangtritis No.16, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",Hotel,hotel
Hotel Tentrem Yogyakarta,hotels,4.8,"Jl. P. Mangkubumi No.72A, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Hotel,hotel
The Manohara Hotel Yogyakarta,hotels,4.7,"Jl. Affandi No.35, Gejayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Hotel,hotel
Emersia Malioboro Hotel,hotels,4.4,"Jl. Gowongan Kidul No.34, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",Hotel,hotel
Luxury Malioboro Yogyakarta Hotel,hotels,4.4,"Jl. Gowongan Kidul No.57, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Hotel,hotel
Hotel Novatel,hotels,3.8,"Jl. KH Wahid Hasyim No.61, Notoprajan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55262",Hotel,hotel
Jogja Backpacker Home,hostel,4.8,"Gg. Ledok Tukangan Jl. Mas Suharto No.2, Tegal Panggung, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55212","Hostel, Guest house, Hotel, Inn, Lodge, Motel, Homestay, Villa",hotel
Kinasih Hotel Yogyakarta,hotels,4.1,"Jl. Wates Jl. Nitipuran No.347 Km 2, Sonosewu, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",Hotel,hotel
YezYezYez Yogyakarta,hostel,4.5,"Gg. Batik Gringsing No.509, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Hostel,hotel
The Alana Hotel & Conference Center Malioboro,hotels,4.8,"Jl. Mayjend Sutoyo No.52, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143","Hotel, Resort hotel, Restaurant",hotel
ibis Styles Yogyakarta,hotels,4.5,"Jl. Dagen Jl. Jogonegaran No.109, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Hotel,hotel
All Nite & Day Hotel Gejayan Yogyakarta,hotels,4.2,"Jl. Affandi No.17C, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222","Hotel, Free parking lot, Meeting planning service, Restaurant, Swimming pool",hotel
Urbanview Omah Eka Santi by RedDoorz,hotels,4.0,"Jl. Tri Margo Kulon No.9A, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241",Hotel,hotel
THE 1O1 Yogyakarta Tugu,hotels,4.7,"Jl. Margo Utomo No.103, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",Hotel,hotel
Uniq Hotel Yogyakarta,hotels,4.3,"Jl. Magelang No.61, Kricak, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55242",Hotel,hotel
Wonderloft Hostel Jogja,hostel,4.6,"Tirtodipuran St No.47, Mantrijeron, Yogyakarta City, Special Region of Yogyakarta 55143",Hostel,hotel
Hotel Citradream Yogyakarta,hotels,4.3,"Jl. A.M. Sangaji No.28, RT.038/RW.008, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Hotel,hotel
Hotel Poncowinatan - Tugu,hotels,4.3,"Jl. Poncowinatan No.3, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Hotel,hotel
Adhisthana Hotel,hotels,4.5,"Jl. Prawirotaman 2 No.613, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Hotel,hotel
Hotel O Jalan Malioboro Near Stasiun Tugu Yogyakarta Formerly Hotel Baru,hotels,3.8,"Jl. Gowongan Kidul No.19, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",Hotel,hotel
JOGJA DAY INN,hotels,4.7,"Jl. Rejowinangun Gg. III No.388, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171","Hotel, Hostel",hotel
Hotel Kalingga,hotels,3.9,"Jl. Juminahan No.50 C, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",Hotel,hotel
POP! Hotel Sangaji,hotels,4.2,"Jl. A.M. Sangaji No.16-18, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55000",Hotel,hotel
Hotel O Yogyakarta near Taman Sari,hotels,3.5,"59M3+5GJ, Gedongkiwo, Mantrijeron, Yogyakarta City, Special Region of Yogyakarta 55142",Hotel,hotel
RedDoorz Hostel near Stadion Mandala Krida Yogya,guest house,4.1,"Jl. Jagung No.21B, Semaki, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",Guest house,hotel
éL Hotel Yogyakarta Malioboro,hotels,4.7,"Jl. Dagen No.6, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Hotel,hotel
Greenhost Boutique Hotel Prawirotaman,hotels,4.6,"Jl. Gerilya No.629, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Hotel,hotel
Aveta Hotel Malioboro,hotels,4.7,"Jl. Malioboro No.42, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",Hotel,hotel
Malioboro Garden Hotel,hotels,4.2,"Malioboro, Jl. Mataram Jl. Malioboro No.1/163, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",Hotel,hotel
Amaris Hotel Malioboro Jogja,hotels,4.4,"Jl. Pajeksan No.10, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231",Hotel,hotel
Eastparc Hotel Yogyakarta,hotels,4.7,"Jalan Laksda Adisucipto KM. 6.5 No.1, Jl. Kledokan Babarsari, Ngentak, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Hotel,hotel
POP! Hotel Timoho - Yogyakarta,hotels,4.2,"Jl. Kenari No.11, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165",Hotel,hotel
D'Kalpa Hotel Demangan Yogyakarta,hotels,4.3,"Jl. Cenderawasih No.19, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Hotel,hotel
ARTOTEL Suites Bianti - Yogyakarta,hotels,4.7,"Jl. Urip Sumoharjo No.37, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222","Hotel, Art gallery, Beer garden, Lounge bar, Restaurant",hotel
Hotel KHAS Malioboro Yogyakarta,hotels,4.5,"Jl. Gadean No.3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Hotel,hotel
Grand Zuri Malioboro Hotel,hotels,4.8,"Jl. P. Mangkubumi No.18, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",Hotel,hotel
Prima In Hotel,hotels,4.4,"Jl. Gandekan Lor No.47, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272","Hotel, Lodging",hotel
Adilla Syariah Hotel,hotels,4.4,"Jl. Nogorojo No.15, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Hotel,hotel
Lafayette Boutique Hotel,hotels,4.6,"Jl. Ring Road Utara No.409, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Hotel,hotel
Cakra Kusuma Hotel Yogyakarta,hotels,4.2,"Jalan Kaliurang KM.5,2 No.25, Karang Wuni, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Hotel, Lodge, Resort hotel, Restaurant",hotel
Abadi Hotel Malioboro Yogyakarta,hotels,4.4,"Jl. Ps. Kembang No.49, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Hotel,hotel
Yogyakarta BnB Malioboro,homestay,4.6,"Jl. Sastrodipuran No.19, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Homestay, Guest house, Hostel, Hotel",hotel
De Laxston Hotel,hotels,4.3,"No.139 A, Jl. Urip Sumoharjo, Klitren, Gondokusuman, Yogyakarta City, Special Region of Yogyakarta 55222",Hotel,hotel
Green Leaf Guest House Jogja,guest house,4.1,"Depan Mc. Donald, Gg. Nakula Jl. Raya Janti No.67, Ambarukmo, Caturtunggal, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Guest house,hotel
Radyoharto Hotel Malioboro by Parigata,hotels,4.0,"Jl. Kp. Jogonegaran, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Hotel,hotel
The Phoenix Hotel Yogyakarta - Handwritten Collection,hotels,4.7,"Jl. Jend. Sudirman No.9, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Hotel,hotel
Rene Hotel,hotels,4.2,"Jl. Margo Utomo No.59, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Hotel,hotel
Hotel Grand Rosela,hotels,4.2,"Jl. Prawirotaman No.28, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Hotel,hotel
Metro Malioboro Living House,hotels,4.5,"Jl. Ronodigdayan No.16, Bausasran, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55211",Hotel,hotel
Abrakadabra Homestay,bed & breakfast,4.8,"Jl. Siliran Kidul No.65A, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",Bed & breakfast,hotel
Harper Malioboro Yogyakarta,hotels,4.8,"Jl. P. Mangkubumi No.52, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",Hotel,hotel
Kalya Hotel,hotels,4.2,"Jl. Gedongkuning No.118, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171",Hotel,hotel
Grand Kangen Hotel Urip Sumoharjo Yogyakarta,hotels,4.4,"Jl. Urip Sumoharjo No.137, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",Hotel,hotel
Hotel 1001 Malam,hotels,4.3,"Gg. 2 Jl. Sosrowijayan GT I No.57, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Hotel,hotel
DBC Room,bed & breakfast,3.7,"Jl. Beskalan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Bed & breakfast,hotel
Chantya Hotel by Grand Sarila Yogyakarta,hotels,4.2,"Jl. Sisingamangaraja No.21A, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153","Hotel, Coffee shop, Gym, Indonesian restaurant, Public swimming pool, Spa and health club",hotel
KJ Hotel Yogyakarta,hotels,4.5,"Jl. Parangtritis No.120, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",Hotel,hotel
Pan Family Hotel,hotels,4.5,"Jl. Taman Siswa, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",Hotel,hotel
