name,category,rating,address,subtypes,type
de culture coffe,coffee shops,4.7,"Ledok Tukangan Dn 2 / 20, kel, RT.14/RW.03, Tegal Panggung, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55212",Coffee shop,kuliner
Barno Caffe,cafes,4.6,"Bausasran, Danurejan, Yogyakarta City, Special Region of Yogyakarta 55211",Cafe,kuliner
Susu Segar Murni Pak Warto | RBW,cafes,4.7,"Jl. Ibu Ruswo No.30, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",Cafe,kuliner
Kopi Joos Pak Jon (Kopi Arang),cafes,4.7,"59Q7+5HM, Alun-Alun Kidul St, Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133","Cafe, Coffee shop",kuliner
HOU KIE,restaurants,4.9,"Jl. Wahid Hasyim No.50, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",Restaurant,kuliner
KHAS Malioboro Coffee Shop,coffee shops,5.0,"Jl. Gadean No.3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Coffee shop,kuliner
ChampaJogja,restaurants,4.8,"Sekar Petak No.1, RT.001/RW.037, Gedongan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184","Restaurant, Event venue, Wedding venue",kuliner
EngIish Cafe Pusat - Kursus Bahasa Inggris di Jogja,sekolah bahasa asing,5.0,"Alive Fusion Dinning, Jl. Timoho No.49A Lantai 3, RT.003/RW.001, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165","Foreign languages program school, Community college, English language school",kuliner
JCO COFFEE & DONUTS MALIOBORO MALL,toko donat,4.2,"Mall Malioboro, Jl. Malioboro No.52-58 Lantai UG, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213","Donut shop, Coffee shop",kuliner
PT Boncafe Indonesia - Yogyakarta Branch,distributor minuman,4.3,"Jalan Magelang No.Km 5,5, Kutu Tegal, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Beverage distributor, Coffee machine supplier, Coffee wholesaler",kuliner
Angkringan Nolka M,coffee shops,4.8,"Jl. Pangurakan No.4, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Coffee shop,kuliner
