name,category,rating,address,subtypes,type,price_estimate
Bakpia Pathok 145 ( IBU SRI ASTUTI ),toko kue,4.4,"Jl. Gambiran No.67A, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",Cake shop,oleh_oleh,50000
Gudeg Yu Djum - Dagen,restoran jawa tengah,4.3,"Jl. Dagen No.2C, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271","Central Javanese restaurant, Javanese restaurant",oleh_oleh,50000
Bakpia Patuk 75,toko roti,4.5,"Jl. HOS Cokroaminoto No.119b, Tegalrejo, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",Bakery,oleh_oleh,50000
malioboro milik bersama,pusat perbelanjaan,5.0,"6948+QCV, Jl. Malioboro, Sosromenduran, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",Shopping mall,oleh_oleh,75000
Mutiara Malioboro Concept Store,pusat perbelanjaan,4.5,"Jl. Malioboro No.18, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Shopping mall,oleh_oleh,75000
Government Tourist Information Center Malioboro,pusat informasi pariwisata,4.6,"Jl. Malioboro No.16, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Tourist information center,oleh_oleh,40000
Pusat Oleh-oleh Jogja Aqila Jaya,convenience store,4.7,"Jl. Raya Semarang - Yogyakarta No.77, Panggeran 7, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514",Convenience store,oleh_oleh,75000
Oleh-Oleh Sleman (Aneka Olahan Salak Cristal),toko buah dan sayur,4.5,"kembangarum, turi, Jl. Salak, Bandaran, Donokerto, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551","Greengrocer, Food manufacturer, Natural goods store",oleh_oleh,75000
Pusat Oleh Oleh Jogja Jeng Inten,toko makanan,4.3,"JL. Magelang km 7.5 (rest area spbu Mlati, depan BKN, Mlati Glondong, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",Deli,oleh_oleh,75000
PUSAT OLEH - OLEH MANGGA TIGA,store,4.4,"Jalan Magelang Km 13 Krapyak, Krapyak, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514",Store,oleh_oleh,75000
