name,category,rating,address,subtypes,type,price_estimate
Plaosan Lor Temple,attractions,4.6,"Jl. Candi Plaosan, Dukuh Plaosan, Bugisan, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454","Buddhist temple, Historical landmark, Tourist attraction",wisata,40000
ꦱꦁꦒꦂꦕꦤ꧀ꦝꦶꦱꦥ꧀ꦠꦉꦁꦒꦪꦺꦴꦒꦾꦏꦂꦠ (Sanggar Candi Sapta Rengga Yogyakarta),place of worship,4.7,"59VG+QFR, Wirogunan, Mergangsan, Yogyakarta City, Special Region of Yogyakarta 55151",Place of worship,wisata,50000
Candi Kelir ꦕꦟ꧀ꦝꦶꦏ꧀ꦭꦶꦂ,pura,4.6,"6FXR+59J, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Hindu temple,wisata,50000
Candi Risan,attractions,4.4,"5QC4+R22, Candi, Candi Rejo, Kec. Semin, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55854","Buddhist temple, Tourist attraction",wisata,40000
Borobudur Temple,attractions,4.7,"Jl. Badrawati, Kw. Candi Borobudur, Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah","Buddhist temple, Historical landmark, Place of worship, Tourist attraction",wisata,40000
Miniatur Candi Borobudur,attractions,0.0,"69M4+43M, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Tourist attraction,wisata,40000
Sojiwan Temple,vihara,4.6,"Jl. Sojiwan No.12 RT. 03, Kwaron, Kb. Dalem Kidul, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454","Buddhist temple, Historical landmark",wisata,50000
Miniatur Candi Prambanan,attractions,4.0,"69M4+72X, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Tourist attraction,wisata,40000
Situs Mantup,hindu temple,4.4,"Jln. Wonosari km.7 Sampangan RT.03, Mantup, Baturetno, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55197",Hindu temple,wisata,50000
Tourism Zone Malioboro,attractions,4.7,"Jl. Margo Mulyo Jl. Jend. Ahmad Yani No.106, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Tourist attraction,wisata,40000
Bringin Kembar Yogyakarta,attractions,4.6,"59Q7+67G, Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133","Tourist attraction, Historical place",wisata,40000
Tebing Breksi,attractions,4.5,"Jl. Desa Lengkong, RT.02/RW.17, Gn. Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Tourist attraction, Ecological park",wisata,40000
Embung Langensari,attractions,4.3,"Jl. Klitren Lor GK 3 No.35, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222","Tourist attraction, City park",wisata,40000
DINO Adventure,attractions,4.2,"Gedung Kotak, Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Tourist attraction,wisata,40000
Kampung Wisata Sosromenduran,attractions,4.2,"001, Jl. Sosrowijayan No.69, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271","Tourist attraction, Amusement park",wisata,40000
SKE CITY PARK,attractions,4.2,"Jl. Jambon, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Tourist attraction, Amusement park",wisata,40000
Yogyakarta Royal Palace,attractions,4.7,"59V7+6H7, Panembahan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55131","Tourist attraction, Museum",wisata,40000
Taman Pelangi Jogja,attractions,4.2,"Jl. Ring Road Utara, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Tourist attraction, Park, Amusement park",wisata,40000
Pulo Kenanga,attractions,4.6,"59R5+FWW, Jl. Polowijan No.5, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133","Tourist attraction, Historical landmark",wisata,40000
Slasar Malioboro,attractions,4.6,"Jl. Ps. Kembang No.4, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Tourist attraction,wisata,40000
Kampung Wisata Gunungketur (ꦏꦩ꧀ꦥꦸꦁꦮꦶꦱꦠꦒꦸꦤꦸꦁꦏꦺꦠꦸꦂ),attractions,4.9,"Jl. Purwanggan No.74, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111",Tourist attraction,wisata,40000
Kampung Wisata Warungboto,attractions,5.0,"Balai, Jl. Umbul Raya, RT.38/RW.09, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164",Tourist attraction,wisata,40000
Jogja Walking Tour | Jogja Good Guide,attractions,4.9,"Jl. Malioboro, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Tourist attraction,wisata,40000
Malioboro Yogyakarta Indonesia,attractions,4.8,"6948+W8X, Jl. Malioboro, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Tourist attraction,wisata,40000
Bukit Panguk Kediwung,attractions,4.5,"Kediwung, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783",Tourist attraction,wisata,40000
Bird Park of Gembira Loka Zoo,attractions,4.7,"Jl. Veteran No.51, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165","Tourist attraction, Zoo",wisata,40000
Batik Monument Yogyakarta,attractions,4.5,"59X7+HR5, Jl. KH. Ahmad Dahlan, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Monument",wisata,40000
Yogyakarta berwisata,lahan piknik,5.0,"Jl. Nilassari Celeban UH 3/500 RT27 RW 06, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55167","Picnic ground, Transportation service",wisata,50000
Hutan Pinus Pengger,attractions,4.5,"Jl. Dlingo-Patuk, Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","Tourist attraction, National forest",wisata,40000
Kidul Plaza Yogyakarta,attractions,4.7,"Alun-Alun Kidul St, Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133","City park, Park",wisata,50000
Tarunasura Gate,attractions,4.6,"59W8+GM2, Jl. Ibu Ruswo, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",Tourist attraction,wisata,40000
Spot Foto Jalan Malioboro,attractions,4.7,"6958+XCH, Sosromenduran, Gedong Tengen, Yogyakarta City, Special Region of Yogyakarta 55271",Tourist attraction,wisata,40000
Desa Wisata Sungai Code Jogja Kota,attractions,4.8,"59GG+R7P, Jl. Lowanu, RW.16, Mulyorejo, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Tourist attraction,wisata,40000
Selfie Park Jogja,cafes,4.4,"Jl. Veteran No.150-151, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161","Tourist attraction, Park, Cafe",wisata,45000
Jembatan Sayidan,attractions,4.6,"59XC+9GJ, Jl. Sultan Agung, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121","Bridge, Tourist attraction",wisata,40000
Jomblang Cave,attractions,4.6,"Jetis, Pacarejo, Semanu, Gunungkidul Regency, Special Region of Yogyakarta 55893",Tourist attraction,wisata,40000
Taman Air Menari,attractions,4.3,"Taman Pintar Yogyakarta, Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Park, Playground",wisata,50000
Vredeburg Park,attractions,4.7,"Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Park,wisata,50000
Mangunan Pines Forests,attractions,4.6,"Jl. Hutan Pinus Nganjir, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","Tourist attraction, Park, Recreation center",wisata,40000
Wisata Kalibiru,attractions,4.4,"Jl. Kalibiru, Kalibiru, Hargowilis, Kec. Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",Tourist attraction,wisata,40000
Stonehenge Yogyakarta,attractions,4.4,"9CXW+2XM, Unnamed Road, Trutan, Kepuharjo, Cangkringan, Sleman Regency, Special Region of Yogyakarta 55583",Tourist attraction,wisata,40000
Obelix Hills,attractions,4.6,"Klumprit, Jl. Rakai Panangkaran Blok I & 2, Klumprit II, Wukirharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Tourist attraction, Amusement park",wisata,40000
Merapi Park Yogyakarta,attractions,4.3,"Jl. Museum Gn. Merapi No.KM. 22.5, Banteng, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582","Tourist attraction, Picnic ground, Park",wisata,40000
Rumah Hantu Malioboro,attractions,4.5,"6938+P4W, Jl. Malioboro, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Tourist attraction,wisata,40000
Becici Peak,attractions,4.6,"Gunungcilik, Jl. Margo Mulyo, Gn. Cilik, Muntuk, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","National reserve, Tourist attraction",wisata,40000
Gunung Gamping,attractions,4.4,"58W9+4VM, Jl. Gamping Tengah, Gamping Tengah, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294",Tourist attraction,wisata,40000
Air Terjun LEPO Dlingo,attractions,4.2,"Dusun, Jl. Pokoh, Pokoh I, Dlingo, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Tourist attraction,wisata,40000
Gunung Mungker,attractions,4.3,"Pencitrejo, Pantirejo, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Tourist attraction,wisata,40000
Blue Lagoon Jogja,attractions,4.3,"Area Sawah, Widodomartani, Ngemplak, Sleman Regency, Special Region of Yogyakarta 55584",Tourist attraction,wisata,40000
Sukunan Tourism Village,attractions,4.5,"Sukunan, Banyuraden, Gamping, Sleman Regency, Special Region of Yogyakarta 55293",Tourist attraction,wisata,40000
Kedung Pedut Waterfall,attractions,4.5,"Jl. Kutogiri Gunung Kelir, Kembang, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",Tourist attraction,wisata,40000
Gunung Ireng,attractions,4.6,"Jl. Jatimulyo, Ngrancahan, Pengkok, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862",Tourist attraction,wisata,40000
Geoforest Watu Payung Turunan,attractions,4.5,"Turunan, Girisuko, Panggang, Gunungkidul Regency, Special Region of Yogyakarta 55872",Tourist attraction,wisata,40000
Seribu Batu Songgo Langit,attractions,4.6,"Jl. Hutan Pinus Nganjir, Sukorame, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","Tourist attraction, Park",wisata,40000
Gumuk Pasir Parangkusumo,attractions,4.5,"Jl. Pantai Parangkusumo RT. 1 Grogol 10, Jl. Pantai Parangkusumo No.16, Pantai, Parangtritis, Kec. Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55772",Tourist attraction,wisata,40000
Wisata Kali Gajah Wong Mrican Giwangan,attractions,4.6,"599V+GMV, Mrican, Giwangan, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55163","Tourist attraction, Water park",wisata,40000
Ledok Sambi Ecopark,attractions,4.7,"Jl. Sambi No.KM. 19,2, Area Sawah, Pakembinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582","Tourist attraction, Paintball center, Restaurant, Park",wisata,50000
Lembah UGM Lake,attractions,4.6,"69JM+976, Karang Gayam, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55281","Tourist attraction, Park",wisata,40000
Jurang Tembelan Kanigoro,attractions,4.5,"Jurangtembelan, Kanigoro, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783",Tourist attraction,wisata,40000
The Lost World Castle,attractions,4.3,"Jl. Petung Merapi, Petung, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583","Tourist attraction, Park",wisata,40000
Batara Sriten Reservoir,attractions,4.5,"5J8J+XXQ, Sriten, Pilangrejo, Kec. Nglipar, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55852",Tourist attraction,wisata,40000
Tlogo Muncar,attractions,4.4,"Jl. Tlogo Putri, Area Hutan, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582","Tourist attraction, Park",wisata,40000
Anjungan Harimau Sumatera of Gembira Loka Zoo,area rekreasi alam,4.5,"59RV+GWM, Warungboto, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55165",National reserve,wisata,50000
Taman Tino Sidin,museums,4.7,"Jl. Tino Sidin No.297, Kdipiro, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184","Tourist attraction, Art museum",wisata,40000
Desa Wisata Kaki Langit,attractions,4.6,"3C8C+RWM, Cempluk, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Tourist attraction,wisata,40000
Taman Gua Sarpa of Gembira Loka Zoo,area rekreasi alam,4.8,"59WW+7WJ, Rejowinangun, Kotagede, Yogyakarta City, Special Region of Yogyakarta 55171",National reserve,wisata,50000
Grojogan Sewu Waterfall,attractions,4.2,"64XP+688, Beteng, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",Tourist attraction,wisata,40000
Randusari Falls,attractions,4.3,"Jl. Randusari No.03, Rejosari, Jatimulyo, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Tourist attraction,wisata,40000
Air Terjun SIDOBALI,attractions,5.0,"Jl. Sidobali No.384, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165",Tourist attraction,wisata,40000
Luweng Sampang Waterfalls,attractions,4.0,"Jl. Juminahan, Kayen, Sampang, Kec. Gedang Sari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55863",Tourist attraction,wisata,40000
Air Terjun Sidoharjo,attractions,4.5,"Gorolangu, Sidoharjo, Samigaluh, Kulon Progo Regency, Special Region of Yogyakarta 55673",Tourist attraction,wisata,40000
Air Terjun Banyu Nibo,attractions,4.3,"Sanggrahan 2, Muntuk, Dlingo, Sanggrahan II, Muntuk, Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Tourist attraction,wisata,40000
Air Terjun Kedung Kandang,attractions,4.0,"Gn. Butak, Nglanggeran, Patuk, Gunungkidul Regency, Special Region of Yogyakarta 55862",Tourist attraction,wisata,40000
Seven-Tiered Waterfall,attractions,4.4,"Bangunrejo, Merdikorejo, Tempel, Sleman Regency, Special Region of Yogyakarta 55552",Tourist attraction,wisata,40000
Wisata Air Terjun Sri Gethuk,attractions,4.4,"Jl. Air Terjun Sri Gethuk, Mungguran II, Bleberan, Kec. Playen, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55816",Tourist attraction,wisata,40000
Air Terjun Kembang Soka,attractions,4.7,"Jl. Raya Kaligesing, Banyunganti, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674","Tourist attraction, Park",wisata,40000
Curug Banyunibo,attractions,4.2,"47JQ+R6R, Kabrokan Kulon, RT./rw:02/RW.00, Kabrokan Wetan, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751",Tourist attraction,wisata,40000
Air Terjun Selarong,attractions,5.0,"48Q8+9XQ, Kembang Putihan, Guwosari, Pajangan, Bantul Regency, Special Region of Yogyakarta 55751",Tourist attraction,wisata,40000
Grojogan Watu Purbo,attractions,4.5,"Jl. Grojogan Watu Purbo, Bangunrejo, Merdikorejo, Kec. Tempel, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55552",Tourist attraction,wisata,40000
Air Terjun Banyunibo,attractions,4.1,"4GVX+M58, Batur, Putat, Patuk, Kepil, Putat, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862",Tourist attraction,wisata,40000
Grojogan Tuwondo,attractions,3.9,"4CMJ+QVM, Lemah Abang, Banyakan 3, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792",Tourist attraction,wisata,40000
Gogor Park Falls Patuk Gunungkidul,attractions,4.4,"4FRQ+XGV, Ngasemayu, Salam, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862",Tourist attraction,wisata,40000
Sendang Ayu Bedrock Falls,attractions,4.7,"3GVG+GJR, Banaran V, Banaran, Kec. Playen, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55861",Tourist attraction,wisata,40000
Air Terjun Balong,attractions,3.8,"2CMG+6CV, Unnamed Road, Nogosari, Selopamioro, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782",Tourist attraction,wisata,40000
Curug Pulosari,attractions,3.9,"47QP+JR9, Krebet, Sendangsari, Pajangan, Krebet, Sendangsari, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751",Tourist attraction,wisata,40000
Wisata Alam Jurug Gedhe꧋ꦮꦠꦸꦥꦪꦸꦁ,attractions,4.1,"5GGP+7J2, Gembyong, Ngoro-oro, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862",Tourist attraction,wisata,40000
Surupetek cascade Fall,area mendaki,4.7,"4C3P+945, Bojong, Wonolelo, Kec. Pleret, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55791",Hiking area,wisata,50000
Air Terjun Klampok,attractions,4.2,"289X+M9X, Jl. Siluk-Parangtritis, Soko, Seloharjo, Kec. Pundong, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55771",Tourist attraction,wisata,40000
Gunung Nglanggeran,unknown,4.8,"Tlogo, Terbah, Patuk, Gunungkidul Regency, Special Region of Yogyakarta",Mountain peak,wisata,50000
Ancient Volcano Nglanggeran,attractions,4.6,"Nglanggeran Wetan, Nglanggeran, Patuk, Gunungkidul Regency, Special Region of Yogyakarta 55862",Tourist attraction,wisata,40000
Gunung Patuk,unknown,4.5,"Kasih, Tamantirto, Kasihan, Bantul Regency, Special Region of Yogyakarta",Mountain peak,wisata,50000
Gunung Sempu,unknown,4.6,"Kembaran, Tamantirto, Kasihan, Bantul Regency, Special Region of Yogyakarta",Mountain peak,wisata,50000
Mount Merapi,unknown,4.4,"Hutan, Ngargomulyo, Dukun, Magelang Regency, Central Java",Volcano,wisata,50000
Gunungketur,unknown,0.0,"Pakualaman, Yogyakarta City, Special Region of Yogyakarta",unknown,wisata,50000
Bukit Klangon,attractions,4.6,"Jl. Srunen-Glagaharjo, Kalitengah Lor, Glagaharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583","Tourist attraction, Campground, Park, Scenic spot",wisata,40000
Kawasan Ekowisata Gunung Api Purba Nglanggeran,attractions,4.6,"Jl. Ngoro Ngoro Ombo, Nglanggeran Wetan, Nglanggeran, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862","Tourist attraction, Ecological park",wisata,40000
Gunung Gambar,attractions,4.5,"5MHC+GJ8, Wonosari, Kampung, Kec. Ngawen, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55853",Tourist attraction,wisata,40000
Yogyakarta,unknown,0.0,"Yogyakarta City, Special Region of Yogyakarta",unknown,wisata,50000
Bukit Paralayang Watugupit,attractions,4.7,"X8FW+9HH, Jl.Watugupi Jl. Paralayang, Area Hutan, Giricahyo, Kec. Purwosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55872",Tourist attraction,wisata,40000
Merapi Volcano Museum,museums,4.4,"9CMC+7RJ, Jl. Banteng No.22, Banteng, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582","Tourist attraction, Museum",wisata,40000
Lava Merapi and Alien Stone,attractions,4.6,"9FX4+346, Jambu, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",Tourist attraction,wisata,40000
PO. Gunung Harta,biro wisata,4.4,"Jl. Ringroad Timur No.9, Pelem Mulong, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198","Tour agency, Bus ticket agency",wisata,50000
Taman Nasional Gunung Merapi,kantor pemerintah,4.5,"Jl. Kaliurang KM 22,6, Hargobinangun, Pakem, Area Hutan, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",Government office,wisata,50000
Gunung Sempu Cemetery,attractions,4.5,"Sembungan, Bangunjiwo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184","Cemetery, Tourist attraction",wisata,40000
"Wisma Gunung Merah, YOGYAKARTA",asosiasi/organisasi,4.7,"Kricak, Tegalrejo, Yogyakarta City, Special Region of Yogyakarta 55242",Association / Organization,wisata,50000
Gn. Cilik,unknown,0.0,"Tirtonirmolo, Kasihan, Bantul Regency, Special Region of Yogyakarta",unknown,wisata,50000
RTHP Gunung Ketur,taman,4.4,"692H+8CC, Gg. Kates, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",Garden,wisata,50000
Puncak Merapi,attractions,4.6,"FC5W+G9G, Hutan, Wonodoyo, Kec. Cepogo, Kabupaten Boyolali, Jawa Tengah 57362","Tourist attraction, Nature preserve, Scenic spot",wisata,40000
Peziarahan Gereja Katolik Gunung Sempu,tempat ziarah,4.8,"588M+C28, Kembaran, Tamantirto, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184",Shrine,wisata,50000
Panggung Krapyak,attractions,4.6,"Krapyak Kulon, panggung, krpayak, Bantul Regency, Special Region of Yogyakarta 55188","Tourist attraction, Historical landmark",wisata,40000
Toko Gunung Mas,toko jam,4.5,"Jl. Jend. Ahmad Yani No.37, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Watch store,wisata,75000
Bukit Lintang Sewu,pusat rekreasi,4.5,"Karang Asem, Muntuk, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783","Recreation center, Campground, Nasi restaurant, RV park, Shooting event area, Wi-Fi spot",wisata,50000
Eiger Store Cokroaminoto,toko olahraga luar ruangan,4.6,"Jl. HOS Cokroaminoto No.33B, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",Outdoor sports store,wisata,75000
Gunung Harta Jogja,agen tiket bus,3.7,"Jl. Imogiri Tim. Terminal, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163",Bus ticket agency,wisata,50000
Gua Langse,attractions,4.5,"X85X+VF6, Girijati, Area Hutan, Giricahyo, Kec. Purwosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55872","Scenic spot, Tourist attraction",wisata,40000
Goa Selarong,attractions,4.4,"48Q7+6W9, Waktu Gedug, Guwosari, Pajangan, Bantul Regency, Special Region of Yogyakarta 55751","Nature preserve, Park, Tourist attraction",wisata,40000
Gua Jepang,attractions,4.4,"X8XH+7V8, Purwosari Dringo, Ngerco, Girijati, Pundong, Bantul Regency, Special Region of Yogyakarta 55872","Historical landmark, Tourist attraction",wisata,40000
Candi Sentono,attractions,4.2,"5FPC+RJ6, Blambangan, Karangan, Jogotirto, Berbah, Sleman Regency, Special Region of Yogyakarta 55573",Tourist attraction,wisata,40000
Seluman Cave Site,attractions,4.4,"Jl. Wonocatur No.26 27, Karang Bendo, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198",Tourist attraction,wisata,40000
Gua Cerme,attractions,4.5,"Jl. Goa Cerme, Srunggo 1, Selopamioro, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782",Tourist attraction,wisata,40000
TWM ( Tebing Watu Mabur ),attractions,4.4,"Mangunan, RT.28, Lemahbang, Dlingo, Lembah Bang, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Tourist attraction,wisata,40000
Goa Maria Ratu Perdamaian Sendang Jatiningsih,attractions,4.9,"Jl. Jatiningsih, Jitar Kulon, Sumberarum, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563","Shrine, Place of worship, Religious destination, Tourist attraction",wisata,40000
Goa Tanding,attractions,4.6,"Gelaran 2, Seropan, Bejiharjo, Kec. Karangmojo, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55891",Tourist attraction,wisata,40000
Goa Rancang Kencono,attractions,4.3,"Mungguran II, Bleberan, Playen, Gunungkidul Regency, Special Region of Yogyakarta 55861",Tourist attraction,wisata,40000
Pindul Cave,attractions,4.5,"Jalan Goa Pindul Gelaran 2, RT.3/RW.16, Seropan, Bejiharjo, Kec. Karangmojo, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55813",Tourist attraction,wisata,40000
ꦒꦺꦴꦮꦒꦗꦃꦊꦩꦃꦧꦁ Goa Gajah Lemahbang,attractions,4.2,"3C4R+54P, jln.goa gajah-Twm, Lembah Bang, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Park,wisata,50000
Gua Permoni,attractions,4.2,"49CW+4JC, Blawong I, Trimulyo, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781",Tourist attraction,wisata,40000
Bumi Perkemahan Goa Payaman,attractions,4.2,"5774+MPW, Argorejo, Sedayu, Sumberan, Argodadi, Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55752",Tourist attraction,wisata,40000
Goa Kebon,attractions,4.3,"457P+5M7, Dukuh VII, Krembangan, Kec. Panjatan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55655",Tourist attraction,wisata,40000
Wisata Goa Pindul,attractions,4.8,"RT.01/RW.17Gunungbang, Seropan, Bejiharjo, Karangmojo, Gunungkidul Regency, Special Region of Yogyakarta 55891",Tourist attraction,wisata,40000
Goa Sunan Mas,attractions,4.5,"284G+VH3, Surocolo Seloharjo Pundong, Ngerco, Seloharjo, Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55771",Tourist attraction,wisata,40000
Goa Kiskendo,attractions,4.4,"743J+4HP, Jl. Raya Kaligesing, Sokomoyo, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",Tourist attraction,wisata,40000
Gua Cokro,museums,4.8,"Unnamed Road No.55892, Wirik, Umbulrejo, Ponjong, Gunungkidul Regency, Special Region of Yogyakarta 55892","Museum, Tourist attraction",wisata,40000
Goa Sriti,attractions,4.3,"Dukuh, Purwoharjo, Samigaluh, Kulon Progo Regency, Special Region of Yogyakarta 55673",Tourist attraction,wisata,40000
